regarding_candidate,tweet
lopezobrador_,"En respuesta a GlodeJo   NiUnVotoAlPRIAN keremos un cambio,"
lopezobrador_,"En respuesta a GlodeJo  De acuerdo, soy pro-AMLO, pero hoy sí dio penita. No le afectará en nada, pero si se vio mal hoy, en mi opinión.,"
lopezobrador_,"En respuesta a GlodeJo   AMLO   % proximo presidente,"
lopezobrador_,"En respuesta a GlodeJo  Tal vez no sea AMLO el mejor sin embargo es la opción para miles de mexicanos que no desean PRI ni PAN y eso no se puede borrar.,"
lopezobrador_,"Es lamentable, pero es la realidad. El pueblo no quiere nada con el PRI ni con el PAN así que van a poner su esperanza en Morena que es el nuevo PRI.,"
lopezobrador_,"En respuesta a GlodeJo  Va ganar AMLO.,"
lopezobrador_,"En respuesta a GlodeJo   ¡Pena ajena! Se le hizo bolas el engrudo Amlo, no se pudo expresar, siempre le ganó el tiempo SeeNoEvilMonkey SeeNoEvilMonkey SeeNoEvilMonkey SeeNoEvilMonkeySeeNoEvilMonkeySeeNoEvilMonkey SeeNoEvilMonkey,"
lopezobrador_,"En respuesta a GlodeJo   y MtyFollowEl ridiculo que ha hecho AMLO, en todos los debates, el hombre nomás no da una!!!,"
lopezobrador_,"AMLO tampoco se equivocó al decir que este tipo es un canalla."","
lopezobrador_,"En respuesta a martibatres Un engaño es todo lo que le han prometido ustedes en Morena a la pobre gente y que la tienen tan ilusionada y penosamente no les van a cumplir.,"
lopezobrador_,"En respuesta a martibatres Cuando mentir es un habito...uffff asi el C.anayin,"
lopezobrador_,"Cierto y Amlo promete mantener con tarjetas amillones d huevones sin trabajar d nuestros impuestos, NO DAN LOS NUMEROS, ni pa refinerías ni mantener sindicatos d pseudomaestros, resumen: la misma PileOfPoo +q Amlo ha vivido d nuestros impuestos    años ta cañón paolo_q testigocreacion,"
lopezobrador_,"En respuesta a AlvarezMaynez ¿No te das cuenta que eso también se lo han copiado a AMLO? Lo mismo que el IVA en la frontera, el salario mínimo, etc. El frente plagia todo lo que puede y tu haces lo mismo.,"
lopezobrador_,"Respuesta ya los tuvieron y digan como esta el pais, apoco somos potencia. Critican a obrador por cualquier cosa pero apoco como individuos somos perfectos."","
lopezobrador_,"En respuesta a GlodeJo  Pues aunque digas mida amlo PRESIDENTE,"
lopezobrador_,"En respuesta a GlodeJo   Va a ganar AMLO estamos hartos del PRI CORRUPTOS,"
lopezobrador_,"En respuesta a GlodeJo   El ganador de este último debate.. AMLO
Amlo no esta siendo investigado por corrupcion..!! Pero no te preocupes lopez no lo metera a la carcel aunque si haya lavado dinero... jajajaj FaceWithTearsOfJoy FaceWithTearsOfJoy,
AMLO secretora a su hotel, mañana sigue en campaña."
lopezobrador_,"En respuesta a taller     Más bien mañana AMLO regresa a la escuela para aprender a hablar, saber cómo funciona el calentamiento global y a ver si puede liberar a Elba
amloNO,"
lopezobrador_,"En respuesta a juanrleone JRamonLeone y RicardoAlemanMx Vamos x el VotoUtilVsAmlo ,,,,por el segundo en las encuestas sea quien sea,,,,,"
lopezobrador_,"En respuesta a juanrleone y JRamonLeoneQue se puede esperar de un pobre Amloestupido sino tranzas y corrupción o ya se nos olvidó los segundos pisos y sus secuaces mendigando dinero a ver el esposo de la Claudiashein donde anda! Y el esposo de la Dolores_PL! Más tranzas!!!,"
lopezobrador_,"En respuesta a juanrleone y JRamonLeoneRespecto a la deuda, tan solo veamos la gestion de Eruviel Avila del Edomex, lo dejó en virtual quiebra porque se robó todo el dinero, Del Mazo tuvo que pedir deuda para poder operar, en cambio Amlo, dejó al DF con una deuda decente, que no impacta en la operación del gobierno,"
lopezobrador_,"Y a lo que se ve será una catástrofe teber a AMLO   años porque siendo sinceros no muestra que sea muy bueno para combatir lo que daña a Mexico, siendo honestos ningún candidato se mira correcto para gobernar, si vamos por lo que han demostrado en los debates Bronco gana,"
lopezobrador_,—AMLO: El menos preparado pero menos corrupto.
lopezobrador_," . Si existieran casos de corrupción de AMLO (comprobado, no sospechas o acusaciones) ya lo hubieran destrozado."
lopezobrador_,"Dime, en mas de    años en la politica que ha echo AMLO por México, y a hora dime cuanto dinero te imaginas que ha ganado AMLO en esos    años en la política. Y tu estas completamente seguro que nunca a tomado   solo peso que no sea de el.,"
lopezobrador_,"Si AMLO habla lento no lo define como un hombre que no esta preparado, Simplemente piensa lo que va a decir."","
lopezobrador_,"En respuesta a MartinoliCuri TodosconAmlo,"
lopezobrador_,"En respuesta a MartinoliCuri y maquiavelob Una opinión muy respetable de alguien que tiene claro lo que significa un populista como amlo... Pejelagarto lopezobrador_ ,"
lopezobrador_,"En respuesta a MartinoliCuriMi pregunta con AMLO, el grupo de su gavinete si, y son especialistas. Como funcionarían ellos como servidores público,"
lopezobrador_,"En respuesta a MartinoliCuri A AMLO lo salva todos los intelectuales que lo rodean.,"
lopezobrador_,"En respuesta a MartinoliCuriNo todos amamos a el bronco para mi es hombre es un patán machista ..AMLOMiPresidente AMLO,"
lopezobrador_,"En respuesta a MartinoliCuri y JuanRiosCantu—AMLO: el menos prepararo, menos corrupto, pero con más experiencia. Aclarando.,"
lopezobrador_,"En respuesta a MartinoliCuri AMLO GANO,"
lopezobrador_,"estas lleno de ignorancia, dices que Obrador no tiene ideas, pero cuando gobernó CDMX construyó los segundos piso gratuitos del periférico, creo el sistema metrobus (tan efectivo que ahora se usa en Monterrey y Guadalajara), creó la licencia permante, modernizó el area turistica,"
lopezobrador_,"el bronco esta mejor que amlo.,"
lopezobrador_,"En respuesta a MartinoliCuri AMLO es el mas preparado, además conoce a fondo la problemática del país."
lopezobrador_,"En respuesta a MartinoliCuri No es q AMLO sea el menos preparado, AMLO no es orador, es de pocas palabras pero efectivo, él sí cumple lo q promete. Y los otros echan todo un rooooollo.,"
lopezobrador_,"AMLO, como Trump, es simplista y le repudia estudiar/analizar a fondo. Es alérgico a los papeles y se fía de su experiencia personal como referencia. Le bastan las soluciones sencillas, pero que son falsas. DebateINE,"
lopezobrador_,"En respuesta a econokafkaAdicional a esto, Amlo al igual que trump pagan cámaras de bronceo especiales. AmloNO DebateINE,"
lopezobrador_,"En respuesta a econokafkaTal vez te parezcan mejor las soluciones falsas , el saqueó y la corrupción de los últimos    años con el PRIAN
YaSeVan por qué ya viene YaSabesQuién ,"
lopezobrador_,"En respuesta a econokafkaCuando hables de AMLO has el favor de""quitarte el sombrero""(aunque no uses)porque estás hablando con el representante de millones y millones de gentes que han visto en el la esperanza del verdadero cambio. Y al faltarle a él al respeto nos lo estás faltando a nosotros.,"
lopezobrador_,"Quitarse el sombrero es una señal de respeto, no de sometimiento, no te confundas.l Los verdaderos súbditos son Uds. los que se inclinan ante la tiranía de un PRIANgobierno y hasta le rinden pleitesía,vamos ya hasta domesticados,la yunta lamen.Y soy consciente no bot.,"
lopezobrador_,Hasta le robo el tiempo de réplica a AMLO
lopezobrador_,"Si AMLO tiene más del   % de probabilidad de ganar la presidencia mejor le ponemos la banda ahorita y nos ahorramos las elecciones y millones de pesos.
AMLOmiPresidente ,"
lopezobrador_,"Mientras AndresManuelovich se divierte en las redes: Ayer con su medicina y hoy esperando el oro de los rusos... El Candidato dedeado paga spots para que aprendan a pronunciar su apellido...,"
lopezobrador_,"Como cuando sus contrincantes pagan llamadas diciendo que va a vender el petróleo a los rusos para infundir miedo y pagan bots para hacer trending AndresManuelovich y el lo usa como publicidad viral y se ahorra millones... Su asesor de imagen es un genio! Jajajaja!,"
lopezobrador_,"Ojala y pongan una pinta de AMLO en Rusia, para volvernos Rusos, que emoción
""AMLO EN VENEZUELA"","
lopezobrador_,"Es evidente que los hackers rusos del New York Times están apoyando el populismo autoritario de AMLO para convertir a México en un nuevo Venezuela trumpista.,"
lopezobrador_,"En respuesta a Irma_Sandoval AMLO    ,"
lopezobrador_,"Amlovsky,"
lopezobrador_,"En respuesta a Miriam_JunneMe too !!! AMLOWOMANPOWER ReadHeart ReadHeart,"
lopezobrador_,"En respuesta a Miriam_Junne y yarixlux El mio también Miriam_Junne    % AMLO,"
lopezobrador_,"En respuesta a Miriam_Junne y IrasemaPanizzo Mi voto al %     con MORENA PRESIDENTE, SENADORES, DIPUTADOS, GOBERNADORES y todos los puestos de eleccion popular,"
lopezobrador_,"En respuesta a Miriam_Junne y molotovmx VOTO MASIVO POR YA SABEN QUIEN,"
lopezobrador_,"En respuesta a Miriam_JunneAMLO     ,"
lopezobrador_,"En respuesta a Miriam_JunneYo estaba dudando, pero ahora que me enteré de que su esposa tiene jabones de judios, que le dejó su abuelo nazi... me convencí. Voy con AMLO.,"
lopezobrador_,"En respuesta a Miriam_Junne y glous AMLO    ,"
lopezobrador_,"En respuesta a Miriam_Junne y Nitz     Mi voto tambien es para AMLO     solo tengo una duda, no me han es definido si es el mesias o el diablo."
lopezobrador_,"En respuesta a luispazos  Definitivamente mi voto además de que es por convicción también por voto útil todos con RicardoAnayaC ni un voto a los morenitos.,"
lopezobrador_,"En respuesta a MondisFeliz ceciliasotog y MarthaTagleQue nadie se quede sin comer recibiendo limosnas? No, estás muy mal, así no se elimina la pobreza, eso es puro populismo barato Amlo es la solución, tiene propuestas que combaten de raíz la pobreza..ojo ""apoyo a los jóvenes para que estudien"","
lopezobrador_,"En respuesta a Sahira_EmmaAMLO demostró que no tiene idea alguna de Política Exterior, Comercio Internacional, Educación y Energías renovables. ¿Y quieres votar por el ?,"
lopezobrador_,AMLO:   DEPARTAMENTOS....   MILLÓN     PESOS.
lopezobrador_,"¡¡ AMLO RATERO !! !!CRUCIFIQUEMOS A AMLO !! jaca     epigmenioibarra RuidoEnLaRed marciano_rejon AlbaniaOC kofres GustavoVela  "","
lopezobrador_,"En respuesta a cesamo   y lopezobrador_Pero todos atentos..por qué el PRIAN no baja la guardia...son capaces de todo... ojo ojo....
AMLO Presidente!!!,"
lopezobrador_,"¿Se imaginan si tuvieran algo real, contra AMLO, hace cuánto se lo habrían sacado?"
lopezobrador_,"En respuesta a taller    Amlo estaría en la carcel,"
lopezobrador_,"En respuesta a taller    Exacto !!! Los Anti AMLO lo saben pero hasta ahora se escudaban en el joven y niño maravilla. Parece que se resume en que o votas por el que según convertirá a México en Venezuela (sin fundamentos) o por el corrupto (con video incluído). Saludos !,"
lopezobrador_,"AMLO     "","
lopezobrador_,"Luego dicen q AMLO divide y es intolerante"","
lopezobrador_,"En respuesta a CPJannyBarrera El fraude ya lo están cocinando, por eso el voto debe ser masivo y contundente con MORENA. Si concretan el fraude y el Tiger se suelta, ya tienen el dedo en el gatillo con la ley de seguridad interior. Ya prepararon ése terreno. No pequemos de ingenuos.,"
lopezobrador_,Y el VotoMasivoPorAMLO no lo podrán detener.
lopezobrador_,"En respuesta a CPJannyBarreraYa sólo apuestan al fraude, más ni eso les va a funcionar. De qué forma convencerán a la gente de que no gano AMLO, y de que lo acepten? No pueden jugar con fuego, pues saldrían quemados.,"
lopezobrador_,"En respuesta a ANDROMACO   y StaMaRibSegura FaceWithtTearsOfJoy_  VotaMorena EN FORMA MASIVA VOTO PARA lopezobrador_ PARA EVITAR A LOS MAPACHES CORRUPTOS DEL PRI_Nacional ESTOS QUE NO TRAICIONAN,"
lopezobrador_,"En respuesta a ANDROMACO  Y su argumento es que todo lo va a resolver eliminando la corrupción. Mentiroso y con soluciones irreales NiUnVotoaAMLO,"
lopezobrador_,Mientras tanto AMLO avanzando hacia los    millones de votos.
lopezobrador_,"Si claro, lo más interesante del video es ver como solo tres o cuatro personas gritan y los demás están sentados, posiblemente incómodos ante el desorden, y curiosamente quien grabó el video decidió, omitir las supuestas largas filas. amloNo VotoUtil,"
lopezobrador_,"va a preferir que le dé el perdón AMLO que los del PRI."","
lopezobrador_,"Pues ellos son mis referentes, y de ellos aprendí de las virtudes y contradicciones de los movimientos sociales y políticos que desataron para la democratización de México. Mañana no se vota por una persona, se vota desde la rabia y la esperanza Elecciones     AMLO presidente GD  -     _AM_AF_F_PQ,"
lopezobrador_,"MéxicoNoSeráMorena"","
lopezobrador_,"Television Cuando JoseAMeadeK fue Secretario de Desarrollo Social, hizo que   millones de personas salieran de pobreza extrema, a diferencia de lopezobrador_ cuando fue jefe de gobierno en la CDMX, aumentó     mil personas en pobreza.
En respuesta a genarolozanoTu tuit está a la misma altura como ejemplo de ejercicio racional como lo está tu afición por AMLO... increíble que un tipo tan poca cosa como candidato los haya fanatizado así... eso los exhibe a ustedes muy jodidamente...,
En respuesta a genarolozano AMLO va a perder. No creas todo lo qué pretende ser.,
En respuesta a genarolozano https://www.milenio.com/elecciones-mexico-    /fideicomiso-damnificados-morena-beneficio-candidatos-dirigentes,
En respuesta a genarolozanoJajaja llegué a ser fan de Genaro, PERO, si piensa q la corrupcion no está ligada ni rodeada a AMLO hay serios problemas. No es votar contra el PRI ni PAN. Izquierda? Cuál? Inexistente en este país. No podemos ni debemos cerrarnos a las catástrofes ocasionadas por el populismo"","
lopezobrador_,"En respuesta a genarolozanoNooo. El pri ganó al peje, el peje perdió al pri. Morena adoptó al pri, el oro desaparece y al pueblo pan y circo,"
lopezobrador_,"En respuesta a genarolozanoSeria chistoso si no fuese tan mala noticia para la economía y la cultura de Mexico el que AMLO tenga tan altas posibilidades de convertisr en el Presidente de México. Es tan patético como el que le hayan dado el nivel de literatura a Bob Dylan.,"
lopezobrador_,"AmloNiDeMascota"","
lopezobrador_,"Respondiendo a Reginartea CharlyBermeo y   más Pero de borregos del PRIAN Y BRONCO,pase por sus $     de devaluados pesos RollingOnTheFloorLaughingRollingOnTheFloorLaughingRollingOnTheFloorLaughingRollingOnTheFloorLaughingRollingOnTheFloorLaughingRollingOnTheFloorLaughing FaceSavoringFood,"
lopezobrador_,"En respuesta a genarolozano CON EL MISMO ENTUSIASMO QUE MOSTRAMOS EN EL FUTBOL, DEMOSTREMOSLO VOTANDO MASIVAMENTE POR AMLO PRESIDENTE ThumbsUp ThumbsUp,"
